artist_id,listener_id,comment_text,timestamp,platform
A0001,L18557,Amazing voice!,2025-01-04T11:22:47,instagram
A0001,L08225,Love this so much!,2024-11-30T09:53:38,instagram
A0001,L11643,Love from Pokhara!,2025-01-12T10:07:21,spotify
A0001,L03091,Amazing voice!,2024-07-29T06:35:37,instagram
A0001,L10293,Love this so much!,2024-07-31T10:34:34,youtube
A0001,L01005,Cool.,2024-12-07T18:16:27,instagram
A0001,L13219,Could be better.,2024-10-01T04:59:19,instagram
A0001,L13180,Could be better.,2024-10-09T14:43:58,instagram
A0001,L32946,Amazing voice!,2024-10-07T04:30:31,spotify
A0001,L01598,Love from Pokhara!,2024-08-12T22:57:44,spotify
A0001,L00277,Cool.,2024-08-01T00:40:03,youtube
A0001,L01366,Your songs are on repeat!,2024-11-15T23:48:05,spotify
A0001,L11835,So proud of you!,2024-11-12T19:07:11,spotify
A0001,L16448,Pure talent.,2024-07-19T14:03:01,youtube
A0001,L18452,Love from Pokhara!,2024-11-23T04:29:30,youtube
A0001,L12010,Pure talent.,2024-10-19T14:20:33,youtube
A0001,L04677,Good song.,2024-11-01T19:20:19,youtube
A0001,L16611,Nice.,2024-09-15T22:57:33,instagram
A0001,L03295,Pure talent.,2024-10-30T06:43:09,spotify
A0001,L29480,Amazing voice!,2024-11-12T14:55:12,spotify
A0001,L23347,Your songs are on repeat!,2024-09-09T13:00:36,instagram
A0001,L14199,This song touches my heart.,2024-11-27T21:10:55,youtube
A0001,L22986,Your songs are on repeat!,2024-09-24T14:47:03,youtube
A0001,L16306,Such a soothing voice.,2024-08-16T18:19:18,instagram
A0001,L10559,Not bad.,2024-08-16T06:57:25,spotify
A0001,L29924,Your songs are on repeat!,2024-12-26T17:27:30,youtube
A0001,L13470,Decent track.,2024-12-29T11:09:30,instagram
A0001,L07232,This song touches my heart.,2024-08-09T05:15:37,instagram
A0001,L05264,Amazing voice!,2024-08-30T08:37:50,youtube
A0001,L15476,So proud of you!,2024-08-29T16:50:54,spotify
A0001,L13920,This song touches my heart.,2024-08-10T22:57:30,spotify
A0001,L16084,So proud of you!,2024-12-10T11:18:02,youtube
A0001,L27453,Your songs are on repeat!,2024-09-18T21:16:59,instagram
A0001,L31318,Your songs are on repeat!,2024-12-24T19:12:09,instagram
A0001,L07682,Not bad.,2024-09-05T13:06:26,instagram
A0001,L27310,Nice.,2024-11-08T15:04:48,spotify
A0001,L03241,Amazing voice!,2025-01-10T09:44:06,instagram
A0001,L20753,Decent track.,2025-01-09T19:56:40,youtube
A0001,L12577,Pure talent.,2024-10-30T07:00:20,youtube
A0001,L34876,Not bad.,2024-11-20T20:07:05,youtube
A0001,L15268,Such a soothing voice.,2024-07-31T09:36:44,instagram
A0001,L26075,Amazing voice!,2024-10-09T09:07:00,spotify
A0001,L00217,Love this so much!,2024-08-30T14:59:36,instagram
A0001,L28669,Good song.,2024-08-04T16:56:53,youtube
A0001,L01082,Nice.,2024-11-29T23:02:57,spotify
A0001,L03089,Love from Pokhara!,2024-11-20T05:51:33,youtube
A0001,L34721,So proud of you!,2024-08-03T05:56:48,spotify
A0001,L04165,Your songs are on repeat!,2024-07-29T03:49:32,spotify
A0001,L09162,Love this so much!,2024-12-01T00:02:59,spotify
A0001,L17609,Love this so much!,2024-12-23T07:16:18,spotify
A0001,L12069,This song touches my heart.,2024-09-21T23:35:44,spotify
A0001,L04081,This song touches my heart.,2024-10-26T22:13:33,spotify
A0001,L33459,Love from Pokhara!,2024-08-30T10:30:14,spotify
A0001,L15661,Such a soothing voice.,2024-09-12T07:20:45,youtube
A0001,L18831,So proud of you!,2024-08-04T14:32:59,spotify
A0001,L04787,Too repetitive.,2024-10-19T14:16:33,spotify
A0001,L02972,Nice.,2024-08-09T14:42:58,youtube
A0001,L10210,Your songs are on repeat!,2024-10-09T22:59:09,youtube
A0001,L12476,Not bad.,2024-08-15T23:31:29,instagram
A0001,L14313,Did not enjoy this.,2024-07-25T12:13:37,youtube
A0001,L21165,Pure talent.,2024-09-20T13:10:42,instagram
A0001,L01020,Cool.,2024-08-16T22:11:31,instagram
A0001,L29313,Amazing voice!,2024-10-19T03:20:55,spotify
A0001,L23946,Such a soothing voice.,2024-08-21T14:40:51,youtube
A0001,L26621,Your songs are on repeat!,2024-10-13T01:15:17,spotify
A0001,L03905,Decent track.,2024-10-20T04:09:59,instagram
A0001,L19311,Your songs are on repeat!,2024-12-04T18:41:00,spotify
A0001,L23807,Such a soothing voice.,2025-01-01T00:25:58,youtube
A0001,L08926,Good song.,2024-11-03T13:07:05,instagram
A0001,L21582,Love this so much!,2024-10-07T02:52:34,instagram
A0001,L10127,Cool.,2025-01-10T00:49:03,instagram
A0001,L30546,Your songs are on repeat!,2024-09-19T11:17:13,youtube
A0001,L15351,Good song.,2025-01-08T11:53:12,instagram
A0001,L34684,This song touches my heart.,2024-12-13T23:27:01,instagram
A0001,L02440,So proud of you!,2024-10-10T14:24:33,instagram
A0001,L26647,Pure talent.,2024-10-31T14:12:53,instagram
A0001,L08403,Your songs are on repeat!,2024-11-18T06:28:08,youtube
A0001,L24148,Amazing voice!,2024-10-25T04:11:24,instagram
A0001,L12066,Your songs are on repeat!,2024-10-12T10:00:03,instagram
A0001,L14856,Such a soothing voice.,2024-11-29T23:16:41,spotify
A0001,L15070,Such a soothing voice.,2024-08-04T10:40:57,spotify
A0001,L04478,Nice.,2024-12-26T12:07:02,youtube
A0001,L24661,Nice.,2024-10-07T02:52:28,youtube
A0001,L09344,Good song.,2025-01-01T10:59:26,youtube
A0001,L24808,Your songs are on repeat!,2024-08-11T22:44:39,youtube
A0001,L07629,So proud of you!,2024-12-26T08:21:34,spotify
A0001,L05913,Not bad.,2024-07-25T23:48:32,spotify
A0001,L02642,Good song.,2025-01-04T21:52:54,spotify
A0001,L07354,Such a soothing voice.,2024-12-20T22:36:24,youtube
A0001,L30432,Amazing voice!,2024-10-24T04:45:45,youtube
A0001,L30440,Good song.,2024-11-20T12:05:31,youtube
A0001,L10738,Not my style.,2024-07-20T03:15:20,youtube
A0001,L22872,Such a soothing voice.,2024-08-01T21:01:29,instagram
A0001,L00491,Amazing voice!,2024-07-24T02:18:35,youtube
A0001,L05649,Amazing voice!,2024-08-17T13:55:10,youtube
A0001,L14289,This song touches my heart.,2024-09-13T10:21:45,spotify
A0001,L16686,So proud of you!,2024-08-10T01:50:47,youtube
A0001,L18852,Cool.,2024-10-25T07:05:03,youtube
A0001,L24434,Did not enjoy this.,2025-01-09T11:35:04,spotify
A0001,L24909,Love this so much!,2024-12-03T21:06:11,instagram
A0002,L26177,Vocals could improve.,2024-11-10T06:19:08,spotify
A0002,L02068,Love from Pokhara!,2024-10-25T02:54:10,spotify
A0002,L16274,Vocals could improve.,2024-07-19T18:52:26,spotify
A0002,L33184,Love this so much!,2024-10-20T03:33:44,instagram
A0002,L14146,Your songs are on repeat!,2024-11-01T18:52:54,spotify
A0002,L04030,Pure talent.,2025-01-05T15:19:06,youtube
A0002,L26783,Pure talent.,2025-01-04T11:42:42,instagram
A0002,L04620,This song touches my heart.,2024-12-20T01:10:53,youtube
A0002,L12621,Amazing voice!,2025-01-09T22:46:23,spotify
A0002,L06359,Such a soothing voice.,2024-09-25T23:12:08,youtube
A0002,L34775,This song touches my heart.,2024-09-25T00:18:48,instagram
A0002,L24832,Amazing voice!,2024-08-05T08:30:50,instagram
A0002,L05853,Your songs are on repeat!,2024-08-20T17:06:18,spotify
A0002,L04737,This song touches my heart.,2024-09-07T08:53:56,youtube
A0002,L02131,Amazing voice!,2024-08-06T15:35:07,spotify
A0002,L11178,So proud of you!,2024-11-21T04:05:36,instagram
